A4	[0]/'ei'fO:	n. A4型纸（规格为297×210毫米的纸）
ovation	[3A]/E(J)'veIF(E)n/o'veFEn	n. 热烈欢迎；大喝采
ove	[0]	abbr. 奥地利电气技术协会
oven	[3A]/'Rv(E)n/'Rvn	n. 炉，灶；烤炉，烤箱
over	[3A]/'EJvE/'ovM	adv. 结束；越过；从头到尾
overact	[3A]/EJvEr'Akt/'ovM'Akt	vt. 将…表演得过火；行动过火
overage	[3A]/'EJv(E)rIdG/'ovErIdG	n. 过于老化；商品过剩；人工时效过度
overall	[3A]/'EJvErODl/,ovE'rOl	adj. 全部的；全体的；一切在内的
overalls	[3A]//'kRvErOlz	n. [服装] 工装裤；工作裤
overawe	[3A]/EJvEr'OD/	vt. 威慑；吓住；使大感敬畏
overbearing	[3A]/EJvE'beErIN/,ovM'bCrIN	adj. 傲慢的；压倒一切的
overboard	[3A]/'EJvEbODd/'ovMbOrd	adv. 自船上落下；向船外
overbook	[3A]/EJvE'bJk/,ovM'bJk	vt. 使过量预订；超额订出
overburden	[1]/EJvE'bHDd(E)n	vt. 使负担过重；使过劳
overcame	[2B]/,ovM'kem	v. 克服（overcome的过去式）
overcast	[3A]/'EJvEkBDst/,ovM'kAst	adj. 阴天的；阴暗的；愁闷的
overcharge	[3A]/EJvE'tFBDdG/,ovM'tFBrdG	n. 过度充电；超载；装药过多
overcoat	[3A]/'EJvEkEJt/'ovMkot	n. 大衣，外套
overcome	[3A]/EJvE'kRm/,ovM'kRm	vt. 克服；胜过
overcrowd	[3A]/EJvE'kraJd/	vt. 使过度拥挤；把…塞得过满
overdo	[3A]/EJvE'duD/'ovM'dJ	vt. 把…做得过分；使过于疲劳；对…表演过火；夸张
overdone	[0]/,EuvE'dRn	v. 把…煮得过久；过于劳累；把…做得过度（overdo的过去分词）
overdose	[3A]/'EJvEdEJs/'ovMdos	vt. 配药过量；使过分沉溺
overdraft	[3A]/'EJvEdrBDft/'ovMdrAft	n. [金融] 透支；[金融] 透支额
overdraw	[3A]/EJvE'drOD/,ovM'drO	vt. 透支；拉过度；夸张
overdress	[3A]/EJvE'dres/'ovEdrCss	vt. 过度装饰；使穿著过分讲究
overdrive	[3A]/'EJvEdraIv/'ovMdraIv	vt. 驱使过度；虐待；工作过度
overdue	[3A]/EJvE'djuD/'ovM'dJ	adj. 过期的；迟到的；未兑的
overeat	[3A]/EJvEr'iDt/'ovM'it	vt. 使吃过量
overemphasize	[3A]/EJvEr'emfEsaIz/	vt. 过分强调
overestimate	[3A]/EJvEr'estImeIt/,ovEr'CstImEt	vt. 对……评价过高；对……估计过高
overexposure	[1]/,EJvEIks'pEJGE	n. 感光过度；[摄] 曝光过度
overfish	[0]/,EuvE'fiF	vt. 对…进行过度捕捞
overflow	[3A]/EJvE'flEJ/,ovM'flo	vi. 溢出；泛滥；充溢
overflowing	[0]/,EuvE'flEuiN	n. 溢流，过剩；溢出物
overfly	[3A]/EJvE'flaI/	vt. 飞越
overgraze	[0]/,ovM'ɡrez	vi. 过度放牧
overhang	[3A]/EJvE'hAN/,ovM'hAN	vi. 悬垂；逼近
overhaul	[3A]/EJvE'hODl/'ovMhOl	vt. 分解检查，大修；追上并超过
overhead	[3A]/EJvE'hed/,ovM'hCd	adv. 在头顶上；在空中；在高处
overheads	[3A]//'ovM'hCdz	n. 企业的日常管理费用；杂项开支；一般费用（overhead的复数）
overhear	[3A]/EJvE'hIE/,ovM'hIr	vt. 无意中听到；偷听
overheard	[0]	vt. 串音（偶而听到）
overhearing	[0]/,ovM'hIr	n. 串话；串音
overheat	[3A]/EJvE'hiDt/,ovM'hit	vi. 过热；愤怒起来
overindulgence	[3A]/,EJv(E)rIn'dRldG(E)ns/'ovMIn'dRldGEns	n. 放纵；沉溺；任性
overjoy	[3A]/,EJvE'dGLI/,ovM'dGOi	vt. 使狂喜；使万分高兴
overjoyed	[3A]/EJvE'dGLId/,ovM'dGOId	adj. 狂喜的；极度高兴的
overkill	[3A]/'EJvEkIl/'ovMkIl	vt. 过度地杀伤
overland	[3A]/'EJvElAnd/'ovMlAnd	adj. 陆上的；经由陆路的
overlap	[3A]/EJvE'lAp/'ovElAp	n. 重叠；重复
overlapping	[3A]/,EJvE'lApIN/'ovM'lAp	adj. 重叠；覆盖
overlay	[3A]/EJvE'leI/'ovElCi	n. 覆盖图；覆盖物
overlays	[0]	v. 覆盖；把一物置于…之上；镶；遮掩（overlay的三单形式）
overleaf	[3A]/EJvE'liDf/,ovM'lif	adv. 在次页；在背面
overload	[3A]/EJvE'lEJd/,ovM'lod	vt. 超载，超过负荷
overloaded	[0]/'ovM'lod	adj. 超载的；超负荷的；超重的
overloading	[0]/'ovM'lod	v. [电] 超负荷，过载（overload的现在分词形式）
overlook	[3A]/EJvE'lJk/,ovM'lJk	vt. 忽略；俯瞰；远眺；检查；高耸于…之上
overly	[3A]/'EJvElI/'ovMli	adv. 过度地；极度地
overlying	[0]/'ovM'lai	n. 上覆盖，叠加（overlie的现在分词）
overnight	[3A]/EJvE'naIt/'ovEnaIt	adv. 通宵；突然；昨晚
overnighter	[3A]/EJvE'naItE/	短途旅行用的小件行李
overpass	[3A]/'EJvEpBDs/'ovMpAs	vt. 超越；胜过；忽略
overpower	[3A]/EJvE'paJE/'ovM'paJM	vt. 压倒；克服；使无法忍受
overprint	[3A]/EJvE'prInt/'ovEprInt	vt. 套印；添印
overrate	[3A]/EJvE'reIt/,ovM'ret	vt. 过高估计；对…估价过高
overreach	[3A]/EJvE'riDtF/,ovM'ritF	vt. 走过头；过度伸张；诈骗
overridden	[0]/,EuvE'ridn	v. 蹂躏；压倒；拒绝（override的过去分词）
override	[3A]/EJvE'raId/,ovM'raId	vt. 推翻；不顾；践踏
overriding	[3A]/EJvE'raIdIN/,ovM'raIdIN	adj. 高于一切的，最重要的
overrule	[3A]/EJvE'ruDl/,ovM'rul	vt. 否决；统治；对…施加影响
overrun	[3A]/EJvE'rRn/'ovErRn	n. 泛滥成灾；超出限度
overrunning	[0]/,ovM'rRn	n. 超过额定界限；[气象] 凌驾；过度运转；超曳现象
overs	[0]/'EuvEz	n. 筛渣；筛除物；补加纸张；[印刷] 伸放纸
oversea	[3A]/'EJvE'siD/'ovM'si	adj. 外国的；在海外的
overseas	[3A]/EJvE'siDz/,ovM'siz	adv. 在海外，海外
oversee	[3A]/EJvE'siD/'ovM'si	vt. 监督；审查；俯瞰；偷看到，无意中看到
overseer	[3A]/'EJvEsIE/'ovMsIr	n. 监督；工头
oversell	[3A]/EJvE'sel/,ovM'sCl	vt. 销售过多
overshadow	[3A]/EJvE'FAdEJ/'ovM'FAdo	vt. 使失色；使阴暗；遮阴；夺去…的光彩
overshot	[3A]/EJvE'FLt/'ovEFBt	adj. 上颚突出的；上射式的
oversight	[3A]/'EJvEsaIt/'ovMsaIt	n. 监督，照管；疏忽
oversized	[0]/'ovMsaIzd	adj. 过大的，极大的
oversleep	[3A]/EJvE'sliDp/	vt. 使睡过头
overstate	[3A]/EJvE'steIt/,ovM'stet	vt. 夸张；夸大的叙述
oversupply	[3A]/EJvEsE'plaI/'ovEsE,plaI	n. [经] 供给过多；过多的供应品
overt	[3A]/EJ'vHDt; 'EJvEt/o'vKt	adj. 明显的；公然的；蓄意的
overtake	[3A]/EJvE'teIk/,ovM'tek	vt. 赶上；压倒；突然来袭
overthrow	[3A]/EJvE'ZrEJ/,ovM'Zro	n. 推翻；倾覆；瓦解
overtime	[3A]/'EJvEtaIm/,ovE'taIm	n. 加班时间；延长时间；[体]加时赛
overtly	[0]/'kRvMtli	adv. 明显地；公开地，公然地
overtone	[3A]/'EJvEtEJn/'ovM'ton	n. [声] 泛音；暗示，寓意；弦外之音
overture	[3A]/'EJvEtj(J)E/'ovEtFJr	n. 前奏曲；提案；序幕
overturn	[3A]/EJvE'tHDn/'ovEtKn	vt. 推翻；倾覆；破坏
overturning	[0]/,ovM'tKn	adj. 颠覆性的
overuse	[3A]/EJvE'juDz/'ovE'jJs	n. 过度使用
overview	[3A]/'EJvEvjuD/'ovM'vjJ	n. [图情] 综述；概观
overweight	[3A]/EJvE'weIt/'ovE'wet	adj. 超重的；过重的
overwhelm	[3A]/EJvE'welm/,ovM'wClm	vt. 压倒；淹没；受打击
overwhelming	[2A]/,ovM'wClmIN	adj. 压倒性的；势不可挡的
overwhelmingly	[3A]//,ovM'hwClmINli	adv. 压倒性地；不可抵抗地
overwork	[3A]/EJvE'wHDk/'ovM'wKk	vi. 工作过度
overworked	[2A]/,ovM'wKkt	adj. 工作过度的；劳累过度的
overwrite	[3A]/EJvE'raIt/,ovM'raIt	vt. 重写；写得过多；重叠写在…上面
overwritten	[0]/'EuvEr,ritn	adj. 覆盖的；重写的
overwrought	[3A]/EJvE'rODt/,ovM'rOt	adj. 过度紧张的；过度兴奋的；过分劳累的；（文体等）过于考究的
overzealous	[0]/,ovM'zClEs	adj. 过分热心的
ow	[3A]/aJ/aJ	int. 哦，哎哟（表示疼痛）
owe	[3A]/EJ/o	vt. 欠；感激；应给予；应该把……归功于
owed	[3A]/Eud/	vbl. 感恩；亏欠；负债]
owes	[3A]//	v. 亏欠；负债（owe的单三形式）；感恩
owing	[3A]/'EJIN/'oIN	adj. 未付的；欠着的
owl	[3A]/aJl/aJl	n. 猫头鹰；枭；惯于晚上活动的人
own	[3A]/EJn/on	vt. 拥有；承认
owned	[3A]//ond	v. 拥有；承认（own的过去分词）
owner	[3A]/'EJnE/'onM	n. [经] 所有者；物主
owners	[3A]//'onM	n. 业主（owner的复数）；所有者
ownership	[3A]/'EJnEFIp/'onMFIp	n. 所有权；物主身份
owns	[0]	n. 属于自己的东西（own的复数）
ox	[3A]/Lks/Bks	n. 牛；公牛
oxen	[3A]/'Lksn/Bksn	n. 牛（ox的复数）
oxford	[3A]/'LksfEd/'BksfMd	n. 牛津（英国城市）；牛津大学
oxidation	[3A]/LksI'deIF(E)n/,BksE'deFEn	n. [化学] 氧化
oxide	[3A]/'LksaId/'BksaId	n. [化学] 氧化物
oxidize	[3A]/'LksIdaIz/'BksE'daIz	vt. 使氧化；使生锈
oxygen	[3A]/'LksIdG(E)n/'BksIdGEn	n. [化学] 氧气，[化学] 氧
oxygenated	[0]/'BksEdGEn,et	adj. 氧化的；充了氧的；充满氧气的
oxymoron	[3A]/,LksI'mODrLn/,BksI'mOrBn	n. （修词中的）矛盾修饰法
oy	[3A]//	abbr. 橙黄色（Orange Yellow）
oyster	[3A]/'LIstE/'OIstM	n. 牡蛎，[无脊椎] 蚝；沉默寡言的人
oysters	[0]/'OIstM	n. 牡蛎，蚝（oyster的复数形式）
oz	[3A]/Oz/	abbr. [金融] 盎司（ounce）
ozone	[3A]/'EJzEJn/'ozon	n. [化学] 臭氧；新鲜的空气
p.m.	[0]	abbr. 下午（post meridiem）
p2p	[0]	abbr. 点对点技术（peer-to-peer）；通向利润之路（path to profitability）
pH	[3A]//'pi 'etF	abbr. 酸碱度符号（描述氢离子活度的）
pa	[3A]/pBD/'pi 'e	n. 爸爸（口语）
pace	[3A]/peIs/pes	n. 一步；步速；步法
paced	[3A]/peIst/pest	adj. 步调的；步伐的
pacer	[3A]/'peIsE/'pesM	n. 步测者；溜蹄的马；定速装置
paces	[0]/pes	n. 步调（pace的复数）
pachyderm	[3A]/'pAkIdHDm/'pAkIdKm	n. 迟钝的人；厚脸皮的人；[脊椎] 厚皮类动物
pacific	[3A]/pE'sIfIk/pE'sIfIk	adj. 和平的；温和的；平静的
pacification	[3A]/,pAsIfI'keIFEn/	n. 和解；平定；讲和；绥靖
pacifier	[3A]/'pAsIfaIE/'pAsIfaIM	n. 调解人；抚慰者；橡皮奶头
pacifist	[3A]/'pAsIfIst/'pAsIfIst	n. 和平主义者
pacify	[3A]/'pAsIfaI/'pAsE'fai	vt. 使平静；安慰；平定
pacing	[0]/pes	n. [测] 步测；步调
pack	[3A]/pAk/pAk	n. 包装；一群；背包；包裹；一副
package	[3A]/'pAkIdG/'pAkIdG	n. 包，包裹；套装软件，[计] 程序包
packaged	[2B]/'pAkIdGd	adj. 包装过的
packager	[0]/'pAkIdGM	n. 打包机，包装机；包装者；节目制作人
packages	[3A]//'pAkIdG	n. 包装；包裹（package的复数）；程序包
packaging	[2A]/'pAkIdGIN	n. 包装；包装业，包装风格
packed	[3A]/pAkt/pAkt	adj. （常用来构成复合词）充满…的，塞满了…的
packer	[3A]/'pAkE/'pAkM	n. 包装机；包装工人；罐头食品工人，赶牲口运货的人
packet	[3A]/'pAkIt/'pAkIt	n. 数据包，信息包；小包，小捆
packets	[0]	n. 数据包；小包（packet的复数）；小捆
packing	[3A]/'pAkIN/'pAkIN	n. 包装；填充物
packs	[0]	n. 包裹；生存集群；资料袋（pack的复数）
pact	[3A]/pAkt/pAkt	n. 协定；公约；条约；契约
pad	[3A]/pAd/pAd	n. 衬垫；护具；便笺簿；填补
padded	[3A]/'pAdid/	adj. 有装填垫料的；脚底有厚肉的
padding	[3A]/'pAdIN/'pAdIN	n. 填料；垫料
paddle	[3A]/'pAd(E)l/'pAdl	n. 划桨；明轮翼
paddock	[3A]/'pAdEk/'pAdEk	n. 围场；小牧场
padlock	[3A]/'pAdlLk/'pAd'lBk	n. 挂锁；关闭；禁止进入
padre	[3A]/'pBDdreI; -drI/	n. 神父；随军牧师
pads	[3A]//	n. 衬垫（pad的复数）；波纹细丝带，眼镜丝带
paean	[3A]/'piDEn/'piEn	n. 赞美歌，欢乐歌
pag	[0]	abbr. 进程存取组（process access group）
pagan	[3A]/'peIg(E)n/'pegEn	adj. 异教的；异教徒的
paganism	[2A]/'pegEn,IzEm	n. 异教；异教信仰；不信教
page	[1]/peIdG	n. 页；记录；大事件，时期；男侍者
pageant	[3A]/'pAdG(E)nt/'pAdGEnt	n. 盛会；游行；虚饰；露天表演
pageantry	[3A]/'pAdG(E)ntrI/	n. 壮观，华丽；露天历史剧
pager	[3A]/'peIdGE/'pedGM	n. 寻呼机，呼机
pages	[3A]//pedG	n. 页数；青年侍从（page的复数）
paginate	[3A]/'pAdGIneIt/'pAdGE'net	vt. 为…标页数
pagination	[3A]/,pAdGI'neIF(E)n/,pAdGI'neFEn	n. 标记页数；页码
paging	[3A]/'peIdGIN/'pedGIN	n. 分页；页式调度
pagoda	[3A]/pE'gEJdE/pE'ɡodE	n. （东方寺院的）宝塔；印度的旧金币
pai	[0]	abbr. 个人事故保险（Personal Accident Insurance）；血浆酶原激活酶抑制因子（plasminogen activator inhibitor）；聚酰胺-酰亚胺（Polyamide-Imide）
paid	[3A]/peId/ped	adj. 付清的；已付的
pail	[3A]/peIl/pel	n. 桶，提桶
pain	[3A]/peIn/pen	n. 疼痛；努力
pained	[3A]/peInd/pend	adj. 悲痛的；受痛苦的
painful	[3A]/'peInfJl; -f(E)l/'penfl	adj. 痛苦的；疼痛的；令人不快的
painfully	[0]/'peinfEli	adv. 痛苦地，费力地
painkiller	[3A]/'peInkIlE/'penkIlM	n. 止痛药
painless	[3A]/'peInlIs/'penlEs	adj. 无痛的；不痛的
painlessly	[0]/'peinlisli	adv. 无痛苦地，不费力地
pains	[3A]//penz	n. 疼痛；千辛万苦；悲叹（pain的复数形式）
painstaking	[3A]/'peInzteIkIN/'penztekIN	adj. 艰苦的；勤勉的；小心的
painstakingly	[3A]/'peins,teikiNli/	adv. 煞费苦心地；费力地
paint	[3A]/peInt/pent	vt. 油漆；绘画；装饰；描绘
paintball	[0]/'peintbO:l	n. 彩弹球；漆弹游戏
paintbrush	[3A]/'peIntbrRF/'pentbrRF	n. 画笔；漆刷
painted	[3A]/'peIntId/'pentId	adj. 描画的；着色的；刷上油漆的
painter	[3A]/'peIntE/'pentM	n. 画家；油漆匠
painting	[3A]/'peIntIN/'pentIN	n. 绘画；油画；着色
paintings	[3A]//'pentIN	n. 图画；印刷品（painting的复数）；涂漆
paints	[3A]/peints/	n. 绘画颜料；绘画作品（paint的复数形式）
pair	[3A]/peE/pCr	n. 一对，一双，一副
paired	[0]/pCr	adj. [计] 成对的；配对的
pairing	[3A]/'peErIN/'pCrIN	n. 配对；摞合；[机] 双层轧制
pairs	[3A]/peEz/	n. 夫妇；一副（pair的复数）
pais	[0]	n. 派斯（人名）
pajama	[3A]/pE'dGBDmE/pE'dGAmEz	n. 睡衣；宽长裤
pajamas	[3A]/pE'dGBDmEz/pE'dGAmEz	n. 睡衣；宽长裤
pakis	[0]	n. 巴基佬
pal	[3A]/pAl/pAl	n. 朋友，伙伴；同志
pala	[0]/'pAlE	n. [昆] 铲形跗
palace	[3A]/'pAlIs/'pAlEs	n. 宫殿；宅邸；豪华住宅
palatable	[3A]/'pAlEtEb(E)l/'pAlEtEbl	adj. 美味的，可口的；愉快的
palate	[3A]/'pAlEt/'pAlEt	n. 味觉；上颚；趣味
palatial	[3A]/pE'leIF(E)l/pE'leFl	adj. 宫殿似的；宏伟的；壮丽的
palatine	[3A]/'pAlEtaIn; -tIn/'pAlEtaIn	adj. 巴拉汀伯爵的；在领地享有王权的；上腭的
palaver	[3A]/pE'lBDvE/pE'lBvM	n. 谈判，交涉；奉承
pale	[3A]/peIl/pel	adj. 苍白的；无力的；暗淡的
paled	[0]/peild	围栅的
palette	[3A]/'pAlIt/'pAlEt	n. 调色板；颜料
palings	[0]/peiliNz	n. 围篱（paling的复数）
pall	[3A]/pODl/pOl	n. 幕；棺罩；遮盖物
palladium	[3A]/pE'leIdIEm/pE'ledIEm	n. [化学] 钯；守护神
pallet	[3A]/'pAlIt/'pAlEt	n. 托盘，货板；简陋小床；调色板
palliate	[3A]/'pAlIeIt/'pAlIet	vt. 减轻；掩饰；辩解
palliative	[3A]/'pAlIEtIv/'pAlI'etIv	n. 辩解；缓和剂；暂时姑息的手段
pallid	[3A]/'pAlId/'pAlId	adj. 苍白的；暗淡的；无生气的
pallor	[3A]/'pAlE/'pAlM	n. 苍白（尤指脸色）；青白；灰白
palm	[3A]/pBDm/pBm	n. 手掌；棕榈树；掌状物
palmer	[3A]/'pBDmE/	n. 朝圣者；变戏法的人；毛虫（尤指北美的小舌麦蛾幼虫）
palms	[3A]//	n. 手掌，手心；棕榈植物（palm的复数）
palmtop	[2A]/'pBm'tBp	n. 掌上型电脑
palmy	[3A]/'pBDmI/'pBmi	adj. 繁荣的；多棕榈的
palmyra	[3A]/pAl'maIrE/	n. 扇叶树头榈（等于palmyra palm）
palomar	[0]	n. 巴乐马山
palpability	[0]/pAlpE'bIlIti	n. 可触知性；明白
palpable	[3A]/'pAlpEb(E)l/'pAlpEbl	adj. 明显的；可感知的；易觉察的
palpate	[1]/pAl'peIt	adj. 有触须的
palpation	[3A]//pAl'pet	n. 触诊；扪诊
palpitate	[3A]/'pAlpIteIt/'pAlpE'tet	vi. 发抖；（心脏）悸动；跳动
palsy	[3A]/'pODlzI; 'pLl-/'pOlzi	n. 麻痹，麻痹状态；中风
palter	[3A]/'pODltE; 'pLl-/	vi. 含糊其词；马虎处理；敷衍了事；讨价还价
paltry	[3A]/'pODltrI; 'pLl-/'pOltri	adj. 不足取的；无价值的；琐碎的；卑鄙的
pamper	[3A]/'pAmpE/'pAmpM	vt. 纵容；使…过量；给…吃得过多
pamphlet	[2A]/'pAmflEt	n. 小册子
pan	[3A]/pAn/pAn	n. 平锅，盘子；摇镜头
pana	[0]	abbr. 泛非新闻社（Pan-African News Agency）；泛亚新闻社（Pan-Asian Newspaper Alliance）
panacea	[0]/,pAnE'siE	n. 灵丹妙药；万能药
panache	[3A]/pE'nAF/pE'nAF	n. 羽饰；灿烂；耍派头
panada	[3A]/pE'nBDdE/	n. 面糊（由面包屑或面粉加糖、牛奶等煮成）
pancake	[3A]/'pAnkeIk/'pAnkek	n. 薄烤饼；粉饼；平降（全称pancake landing）
pancreas	[3A]/'pANkrIEs/'pANkrIEs	n. [解剖] 胰腺
pancreatic	[3A]/,pAnkrI'AtIk/,pANkrI'AtIk	adj. 胰的；胰腺的
panda	[3A]/'pAndE/'pAndE	n. 熊猫；猫熊
pandemic	[3A]/pAn'demIk/pAn'dCmIk	adj. 全国流行的；普遍的
pandemonium	[0]/,pAndE'monIEm	n. 一片混乱；闹哄哄的场所
pander	[3A]/'pAndE/'pAndM	vi. 迎合；勾引；怂恿；拉皮条
pane	[3A]/peIn/pen	n. 窗格；边；面；窗格玻璃；嵌板
panegyric	[3A]/,pAnI'dGIrIk/	n. 颂词，赞颂
panel	[3A]/'pAn(E)l/'pAnl	n. 仪表板；嵌板；座谈小组，全体陪审员
panelist	[3A]/'pAnElIst/'pAnlIst	n. 专门小组成员；专题讨论小组参加者（等于panellist）
panes	[0]/pen	n. 窗格；窗格玻璃；长方格（pane的复数）
pang	[3A]/pAN/pAN	n. （肉体上）剧痛；苦闷；（精神上）一阵极度的痛苦
pangaea	[0]/pAn'dGiE	n. [海洋] 泛大陆；盘古大陆
panhandle	[3A]/'pAnhAnd(E)l/	n. 平锅柄；（美）柄状的狭长区域
panic	[3A]/'pAnIk/'pAnIk	n. 恐慌，惊慌；大恐慌
panning	[3A]/'pAnIN/'pAnIN	n. 一顿痛斥；装鱼盘，装鱼箱；移动镜头图形学中
panorama	[3A]/pAnE'rBDmE/,pAnE'rAmE	n. 全景，全貌；全景画；概论
panoramic	[3A]/,pAnE'rAmIk/,pAnE'rAmIk	adj. [摄] 全景的
pans	[0]/pAn	n. 平底锅（pan的复数）
pansy	[0]/'pAnzi	n. [园艺] 三色堇；同性恋男子；三色紫罗兰
pant	[3A]/pAnt/pAnt	vi. 喘息；渴望；气喘吁吁地说出某事
pantechnicon	[1]/pAn'teknIk(E)n	n. 家具搬运车；家具仓库
pantheon	[3A]/'pAnZIEn/'pAnZIEn	n. 万神殿；名流群
panther	[3A]/'pAnZE/'pAnZM	n. 豹；黑豹；美洲豹
pantie	[1]/pAn'tiD	n. （儿童或妇女穿的）短裤
panties	[3A]/'pAntIz/'pAntIz	n. 女式短裤
panting	[0]/'pAntiN	v. 脉动；晃动（pant的ing形式）
pantomime	[3A]/'pAntEmaIm/'pAntEmaIm	n. 哑剧；舞剧；手势
pantone	[1]	n. 潘通色卡
pantry	[3A]/'pAntrI/'pAntri	n. 餐具室；食品室；食品储藏室
pants	[3A]/pAn(t)s/pAnts	n. 裤子；短裤
panty	[3A]/'pAntI/'pAnti,hoz	n. 女裤；童裤（等于panties）
pantyhose	[3A]/'pAntIhEJz/	n. 连裤袜
pao	[0]	abbr. 典藏学术期刊全文资料库（Periodicals Archive Online）
pap	[1]/pAp	n. 半流质食物；奶头；软食
papa	[3A]/pE'pBD; 'pBDpE/'pBpE	n. 爸爸（儿语，等于poppa）
papal	[3A]/'peIp(E)l/'pepl	adj. 教宗的；罗马教皇的；教皇制度的
paparazzi	[3A]/,pBDpE'rBDtsiD/	n. 狗仔队（专门追逐名人偷拍照片的摄影者或记者，paparazzo的复数）
papaya	[3A]/pE'paIE/pE'paIE	n. 木瓜；[林] 番木瓜树
paper	[3A]/'peIpE/'pepM	n. 纸；论文；文件；报纸
paperback	[3A]/'peIpEbAk/'pepMbAk	n. 平装本；廉价本
papercut	[0]/'peipEkRt	n. 剪纸，刻纸
papering	[0]/'pepM	n. 糊纸；夹板；墙纸
papers	[3A]//'pepMz	n. 文件；证件；论文数
paperweight	[3A]/'peIpEweIt/'pepMwet	n. 书镇；压纸器；镇纸
paperwork	[3A]/'peIpEwHDk/'pepM'wKk	n. 文书工作
papi	[0]	abbr. 精密进近航道指示器（Precision Approach Path Indicator）
paprika	[3A]/'pAprIkE; pE'priDkE/pE'prikE	n. 辣椒粉；红辣椒
papule	[3A]/'pApjuDl/	n. [医] 丘疹（等于papula）
papyrus	[3A]/pE'paIrEs/pE'paIrEs	n. 纸莎草；纸莎草纸
par	[3A]/pBD/pBr	n. 标准；票面价值；平均数量
para	[3A]/'pArE/'pArE	n. 帕拉橡胶；帕拉（南斯拉夫辅币名）
parable	[3A]/'pArEb(E)l/'pArEbl	n. 寓言，比喻；隐晦或谜般的格言
parabola	[3A]/pE'rAb(E)lE/pE'rAbElE	n. 抛物线
parabolic	[3A]/,pArE'bLlIk/,pArE'bBlIk	adj. 抛物线的；比喻的；寓言的
parachute	[3A]/'pArEFuDt/'pArE'FJt	n. 降落伞
parade	[3A]/pE'reId/pE'red	n. 游行；阅兵；炫耀；行进；阅兵场
paradigm	[3A]/'pArEdaIm/'pArE'daIm	n. 范例；词形变化表
paradigmatic	[3A]/pArEdIg'mAtIk/,pArEdIg'mAtIk	adj. 词形变化的；范例的
paradise	[3A]/'pArEdaIs/'pArE'daIs	n. 天堂
paradox	[3A]/'pArEdLks/'pArEdBks	n. 悖论，反论；似非而是的论点；自相矛盾的人或事
paradoxical	[3A]/,pArE'dLksIk(E)l/,pArE'dBksIkl	adj. 矛盾的；诡论的；似非而是的
paradoxically	[3A]/,pArE'dOksikEli/	adv. 自相矛盾地；似非而是地；反常地
paraffin	[3A]/'pArEfIn/'pArEfIn	n. 石蜡；[有化] 链烷烃；硬石蜡
paragon	[3A]/'pArEg(E)n/'pArEɡBn	n. 模范；完美之物；优秀之人
paragraph	[3A]/'pArEgrBDf/'pArEɡrAf	n. 段落；短评；段落符号
paragraphs	[3A]//'pArE,grAf	n. 段落（paragraph的复数形式）
parallel	[3A]/'pArElel/'pArElCl	n. 平行线；对比
parallelism	[3A]/'pArElelIzEm/'pArElCl'IzEm	n. 平行；类似，对应
parallels	[0]/'pArE,lCl	n. 平行线；平行状态；匹敌者（parallel的复数形式）
